,tempo,traffic
0,0,6
1,1,10
2,2,18
3,3,14
4,4,11
5,5,7
6,6,12
7,7,10
8,8,11
9,9,6
10,10,6
11,11,6
12,12,4
13,13,9
14,14,12
15,15,10
16,16,8
17,17,12
18,18,13
19,19,11
20,20,6
21,21,9
22,22,8
23,23,10
24,24,6
25,25,5
26,26,11
27,27,8
28,28,6
29,29,14
30,30,11
31,31,10
32,32,14
33,33,11
34,34,10
35,35,14
36,36,12
37,37,16
38,38,8
39,39,6
40,40,10
41,41,4
42,42,11
43,43,12
44,44,8
45,45,12
46,46,15
47,47,13
48,48,11
49,49,12
50,50,8
51,51,5
52,52,7
53,53,16
54,54,10
55,55,15
56,56,19
57,57,14
58,58,10
59,59,10
60,60,6
61,61,12
62,62,8
63,63,7
64,64,7
65,65,12
66,66,11
67,67,15
68,68,4
69,69,4
70,70,11
71,71,10
72,72,8
73,73,9
74,74,7
75,75,9
76,76,16
77,77,6
78,78,11
79,79,4
80,80,8
81,81,9
82,82,8
83,83,13
84,84,14
85,85,4
86,86,6
87,87,13
88,88,16
89,89,8
90,90,14
91,91,17
92,92,9
93,93,17
94,94,7
95,95,5
96,96,16
97,97,11
98,98,14
99,99,7
100,100,10
101,101,10
102,102,8
103,103,5
104,104,12
105,105,15
106,106,9
107,107,10
108,108,10
109,109,9
110,110,9
111,111,13
112,112,13
113,113,8
114,114,5
115,115,9
116,116,19
117,117,12
118,118,15
119,119,8
120,120,11
121,121,13
122,122,7
123,123,9
124,124,10
125,125,5
126,126,2
127,127,7
128,128,7
129,129,15
130,130,8
131,131,8
132,132,10
133,133,16
134,134,8
135,135,9
136,136,14
137,137,17
138,138,7
139,139,16
140,140,12
141,141,10
142,142,8
143,143,5
144,144,15
145,145,10
146,146,13
147,147,3
148,148,10
149,149,6
150,150,11
151,151,19
152,152,12
153,153,8
154,154,12
155,155,7
156,156,9
157,157,10
158,158,12
159,159,8
160,160,15
161,161,10
162,162,7
163,163,12
164,164,5
165,165,14
166,166,13
167,167,8
168,168,12
169,169,6
170,170,3
171,171,12
172,172,12
173,173,10
174,174,6
175,175,9
176,176,9
177,177,10
178,178,10
179,179,9
180,180,10
181,181,11
182,182,8
183,183,15
184,184,13
185,185,9
186,186,12
187,187,5
188,188,6
189,189,11
190,190,13
191,191,15
192,192,12
193,193,14
194,194,8
195,195,21
196,196,7
197,197,12
198,198,14
199,199,8
200,200,10
201,201,12
202,202,11
203,203,8
204,204,17
205,205,11
206,206,6
207,207,13
208,208,7
209,209,7
210,210,10
211,211,10
212,212,11
213,213,11
214,214,10
215,215,5
216,216,9
217,217,12
218,218,8
219,219,12
220,220,6
221,221,12
222,222,14
223,223,7
224,224,6
225,225,15
226,226,8
227,227,9
228,228,7
229,229,13
230,230,11
231,231,7
232,232,9
233,233,16
234,234,13
235,235,8
236,236,10
237,237,15
238,238,8
239,239,11
240,240,8
241,241,7
242,242,8
243,243,9
244,244,8
245,245,10
246,246,10
247,247,5
248,248,7
249,249,10
250,250,13
251,251,11
252,252,10
253,253,3
254,254,8
255,255,13
256,256,17
257,257,13
258,258,3
259,259,8
260,260,10
261,261,9
262,262,9
263,263,12
264,264,10
265,265,13
266,266,11
267,267,11
268,268,17
269,269,8
270,270,11
271,271,9
272,272,15
273,273,9
274,274,9
275,275,6
276,276,6
277,277,11
278,278,7
279,279,15
280,280,13
281,281,6
282,282,8
283,283,12
284,284,9
285,285,9
286,286,6
287,287,7
288,288,12
289,289,7
290,290,5
291,291,5
292,292,10
293,293,6
294,294,9
295,295,8
296,296,11
297,297,13
298,298,13
299,299,9
300,300,6
301,301,8
302,302,13
303,303,21
304,304,12
305,305,12
306,306,11
307,307,4
308,308,14
309,309,3
310,310,5
311,311,17
312,312,13
313,313,9
314,314,9
315,315,6
