,tempo,traffic
0,0,9
1,1,12
2,2,9
3,3,10
4,4,11
5,5,10
6,6,6
7,7,10
8,8,6
9,9,8
10,10,10
11,11,4
12,12,12
13,13,10
14,14,12
15,15,9
16,16,11
17,17,13
18,18,8
19,19,7
20,20,9
21,21,8
22,22,9
23,23,10
24,24,16
25,25,12
26,26,6
27,27,10
28,28,8
29,29,7
30,30,15
31,31,11
32,32,12
33,33,14
34,34,13
35,35,12
36,36,12
37,37,11
38,38,7
39,39,13
40,40,10
41,41,12
42,42,7
43,43,10
44,44,11
45,45,13
46,46,12
47,47,11
48,48,11
49,49,12
50,50,10
51,51,7
52,52,9
53,53,13
54,54,9
55,55,12
56,56,12
57,57,9
58,58,10
59,59,10
60,60,15
61,61,5
62,62,15
63,63,15
64,64,13
65,65,13
66,66,13
67,67,9
68,68,14
69,69,12
70,70,10
71,71,8
72,72,11
73,73,10
74,74,13
75,75,6
76,76,13
77,77,6
78,78,5
79,79,10
80,80,8
81,81,7
82,82,6
83,83,6
84,84,14
85,85,10
86,86,12
87,87,8
88,88,9
89,89,15
90,90,16
91,91,5
92,92,8
93,93,10
94,94,5
95,95,9
96,96,16
97,97,14
98,98,15
99,99,12
100,100,8
101,101,12
102,102,10
103,103,10
104,104,9
105,105,8
106,106,4
107,107,16
108,108,5
109,109,7
110,110,5
111,111,12
112,112,11
113,113,9
114,114,6
115,115,14
116,116,8
117,117,11
118,118,14
119,119,12
120,120,9
121,121,11
122,122,16
123,123,7
124,124,7
125,125,4
126,126,8
127,127,9
128,128,13
129,129,7
130,130,11
131,131,3
132,132,11
133,133,12
134,134,9
135,135,13
136,136,8
137,137,8
138,138,12
139,139,12
140,140,9
141,141,11
142,142,11
143,143,11
144,144,12
145,145,10
146,146,9
147,147,11
148,148,9
149,149,9
150,150,10
151,151,6
152,152,11
153,153,12
154,154,6
155,155,13
156,156,14
157,157,11
158,158,9
159,159,11
160,160,10
161,161,10
162,162,10
163,163,12
164,164,5
165,165,12
166,166,7
167,167,13
168,168,3
169,169,14
170,170,9
171,171,14
172,172,5
173,173,8
174,174,3
175,175,9
176,176,12
177,177,7
178,178,9
179,179,10
180,180,14
181,181,9
182,182,13
183,183,10
184,184,10
185,185,8
186,186,14
187,187,8
188,188,2
189,189,15
190,190,11
191,191,13
192,192,12
193,193,8
194,194,10
195,195,15
196,196,12
197,197,16
198,198,10
199,199,6
200,200,3
201,201,9
202,202,16
203,203,6
204,204,7
205,205,6
206,206,12
207,207,15
208,208,14
209,209,10
210,210,7
211,211,12
212,212,8
213,213,11
214,214,13
215,215,8
216,216,11
217,217,10
218,218,10
219,219,11
220,220,7
221,221,7
222,222,12
223,223,10
224,224,9
225,225,8
226,226,11
227,227,9
228,228,10
229,229,14
230,230,12
231,231,4
232,232,13
233,233,10
234,234,8
235,235,8
236,236,9
237,237,8
238,238,12
239,239,7
240,240,12
241,241,9
242,242,13
243,243,6
244,244,6
245,245,10
246,246,9
247,247,11
248,248,8
249,249,8
250,250,10
251,251,17
252,252,7
253,253,14
254,254,2
255,255,10
256,256,14
257,257,8
258,258,6
259,259,11
260,260,9
261,261,14
262,262,5
263,263,11
264,264,12
265,265,15
266,266,16
267,267,8
268,268,16
269,269,12
270,270,12
271,271,9
272,272,8
273,273,4
274,274,5
275,275,12
276,276,12
277,277,12
278,278,9
279,279,7
280,280,13
281,281,13
282,282,10
283,283,13
284,284,10
285,285,10
286,286,13
287,287,12
288,288,12
289,289,9
290,290,7
291,291,11
292,292,4
293,293,12
294,294,9
295,295,7
296,296,11
297,297,10
298,298,12
299,299,14
300,300,15
301,301,4
302,302,7
303,303,14
304,304,12
305,305,7
306,306,11
307,307,17
308,308,10
309,309,14
310,310,8
311,311,13
312,312,11
313,313,6
314,314,7
315,315,12
316,316,14
317,317,8
318,318,14
319,319,13
320,320,10
321,321,5
322,322,11
323,323,13
324,324,13
325,325,14
326,326,9
327,327,7
328,328,5
329,329,9
330,330,10
331,331,10
332,332,15
333,333,7
334,334,7
335,335,8
336,336,6
337,337,11
338,338,5
339,339,8
340,340,6
341,341,10
342,342,5
343,343,11
344,344,15
